time,value
2024-03-16T22:15:42.369833063Z,80
2024-03-16T22:15:42.887659186Z,85
2024-03-16T22:15:43.984943058Z,87
2024-03-16T22:15:44.506901026Z,93
2024-03-16T22:15:45.017512267Z,103
2024-03-16T22:15:45.547635458Z,115
2024-03-16T22:15:46.047389123Z,126
2024-03-16T22:15:46.551081607Z,140
2024-03-16T22:15:47.066922021Z,137
2024-03-16T22:15:47.578848321Z,153
2024-03-16T22:15:48.089105586Z,160
2024-03-16T22:15:48.598830565Z,162
2024-03-16T22:15:49.112897365Z,173
2024-03-16T22:15:49.99706311Z,179
2024-03-16T22:15:50.501868947Z,190
2024-03-16T22:15:51.003358791Z,194
2024-03-16T22:15:51.51902003Z,200
2024-03-16T22:15:52.670877595Z,174
2024-03-16T22:15:53.45309663Z,156
2024-03-16T22:15:54.277534819Z,140
2024-03-16T22:15:55.020743258Z,126
2024-03-16T22:15:55.688846316Z,116
2024-03-16T22:15:56.391028234Z,106
2024-03-16T22:15:57.148998848Z,99
2024-03-16T22:15:57.857888764Z,92
2024-03-16T22:15:58.54150476Z,87
2024-03-16T22:15:59.26713397Z,82
2024-03-16T22:16:00.116833312Z,80
2024-03-16T22:16:01.610643129Z,81
2024-03-16T22:16:03.85357638Z,80
2024-03-16T22:16:05.106974165Z,82
2024-03-16T22:16:05.627208486Z,87
2024-03-16T22:16:06.142882256Z,88
2024-03-16T22:16:06.65372548Z,95
2024-03-16T22:16:07.178855189Z,109
2024-03-16T22:16:07.69521805Z,130
2024-03-16T22:16:08.210722433Z,146
2024-03-16T22:16:08.73068624Z,163
2024-03-16T22:16:09.24489621Z,154
2024-03-16T22:16:09.764806597Z,147
2024-03-16T22:16:10.276955863Z,165
2024-03-16T22:16:10.781870715Z,167
2024-03-16T22:16:11.315312382Z,154
2024-03-16T22:16:11.93751891Z,141
2024-03-16T22:16:12.825009067Z,123
2024-03-16T22:16:13.745123453Z,110
2024-03-16T22:16:14.306775126Z,113
2024-03-16T22:16:14.813427391Z,115
2024-03-16T22:16:15.506947016Z,106
2024-03-16T22:16:16.292820783Z,96
2024-03-16T22:16:16.944208835Z,91
2024-03-16T22:16:18.055024309Z,83
2024-03-16T22:16:18.894805359Z,79
2024-03-16T22:16:19.728268471Z,77
2024-03-16T22:16:21.592779662Z,76
2024-03-16T22:16:22.458910778Z,73
2024-03-16T22:16:23.268940354Z,70
2024-03-16T22:16:24.12496201Z,69
2024-03-16T22:16:25.042990175Z,68
2024-03-16T22:16:25.842946428Z,67
2024-03-16T22:16:26.682918172Z,69
2024-03-16T22:16:30.025954345Z,71
2024-03-16T22:16:30.803410368Z,72
2024-03-16T22:16:32.320792577Z,73
2024-03-16T22:16:33.021529412Z,75
2024-03-16T22:16:33.77528224Z,76
2024-03-16T22:16:34.615126086Z,75
2024-03-16T22:16:36.187170018Z,77
2024-03-16T22:16:36.912964976Z,78
2024-03-16T22:16:40.901474224Z,76
2024-03-16T22:16:41.751199033Z,75
2024-03-16T22:16:42.554062089Z,76
2024-03-16T22:16:43.288778329Z,77
2024-03-16T22:16:44.050630322Z,76
2024-03-16T22:16:44.847282588Z,75
2024-03-16T22:16:46.365202029Z,76
2024-03-16T22:16:47.060814378Z,77
2024-03-16T22:16:48.583006474Z,78
2024-03-16T22:16:49.31350037Z,79
2024-03-16T22:16:49.984995008Z,80
2024-03-16T22:16:51.651039363Z,78
2024-03-16T22:16:53.174878003Z,79
2024-03-16T22:16:54.715531603Z,78
2024-03-16T22:16:56.115527096Z,80
2024-03-16T22:16:57.372875505Z,81
2024-03-16T22:17:00.62091251Z,80
2024-03-16T22:17:02.833406348Z,81
2024-03-16T22:17:03.640996644Z,79
2024-03-16T22:17:04.448789229Z,78
2024-03-16T22:17:05.218857858Z,76
2024-03-16T22:17:06.022668937Z,75
2024-03-16T22:17:06.763011956Z,78
2024-03-16T22:17:08.426803646Z,77
2024-03-16T22:17:09.272892852Z,76
2024-03-16T22:17:10.813872168Z,75
2024-03-16T22:17:13.890014029Z,76
2024-03-16T22:17:14.559026723Z,77
2024-03-16T22:17:15.943014553Z,79
2024-03-16T22:17:16.634994355Z,81
2024-03-16T22:17:18.352849959Z,79
2024-03-16T22:17:19.284899859Z,78
2024-03-16T22:17:21.605138085Z,77
2024-03-16T22:17:22.410747732Z,76
2024-03-16T22:17:23.21289445Z,75
2024-03-16T22:17:25.524873926Z,73
2024-03-16T22:17:26.412977747Z,74
2024-03-16T22:17:27.181414773Z,76
2024-03-16T22:17:31.946214345Z,74
2024-03-16T22:17:32.904960899Z,72
2024-03-16T22:17:33.751167004Z,73
2024-03-16T22:17:34.496877483Z,74
2024-03-16T22:17:38.539432894Z,72
2024-03-16T22:17:39.468913919Z,71
2024-03-16T22:17:40.277666336Z,72
2024-03-16T22:17:41.005294951Z,74
2024-03-16T22:17:41.789002031Z,75
2024-03-16T22:17:42.621190874Z,73
2024-03-16T22:17:44.105821726Z,74
2024-03-16T22:17:44.633057912Z,77
2024-03-16T22:17:45.144976954Z,81
2024-03-16T22:17:45.65899152Z,89
2024-03-16T22:17:46.16484301Z,103
2024-03-16T22:17:47.611953884Z,102
2024-03-16T22:17:48.442816216Z,103
2024-03-16T22:17:49.306994662Z,101
2024-03-16T22:17:50.756880027Z,97
2024-03-16T22:17:51.439498127Z,92
2024-03-16T22:17:52.2233389Z,86
2024-03-16T22:17:53.028982411Z,82
2024-03-16T22:17:53.763104687Z,78
2024-03-16T22:17:56.8903238Z,79
2024-03-16T22:17:58.365047504Z,78
2024-03-16T22:17:59.363494295Z,76
2024-03-16T22:18:00.241224282Z,74
2024-03-16T22:18:01.055631198Z,75
2024-03-16T22:18:02.557194011Z,74
2024-03-16T22:18:03.440983383Z,73
2024-03-16T22:18:04.223568675Z,74
2024-03-16T22:18:05.871437575Z,72
2024-03-16T22:18:06.797450661Z,71
2024-03-16T22:18:07.555022558Z,73
2024-03-16T22:18:08.295793387Z,75
2024-03-16T22:18:09.892861495Z,74
2024-03-16T22:18:11.380807597Z,75
2024-03-16T22:18:13.068714605Z,74
2024-03-16T22:18:13.812926798Z,76
2024-03-16T22:18:14.522753122Z,77
2024-03-16T22:18:17.534920299Z,78
2024-03-16T22:18:18.216875971Z,79
2024-03-16T22:18:19.121028924Z,78
2024-03-16T22:18:20.613590288Z,79
2024-03-16T22:18:21.275357281Z,80
2024-03-16T22:18:22.051579339Z,79
2024-03-16T22:18:22.895960686Z,78
2024-03-16T22:18:26.106841997Z,76
2024-03-16T22:18:27.669803632Z,77
2024-03-16T22:18:28.480907254Z,76
2024-03-16T22:18:29.296864597Z,74
2024-03-16T22:18:30.072853323Z,75
2024-03-16T22:18:32.480284371Z,74
2024-03-16T22:18:34.029741846Z,76
2024-03-16T22:18:37.856797758Z,77
2024-03-16T22:18:40.138867128Z,78
2024-03-16T22:18:40.886655558Z,79
2024-03-16T22:18:42.479026521Z,77
2024-03-16T22:18:43.359167814Z,76
2024-03-16T22:18:44.094981201Z,77
2024-03-16T22:18:44.816849304Z,78
2024-03-16T22:18:48.71882351Z,76
2024-03-16T22:18:49.556762631Z,75
2024-03-16T22:18:50.289550155Z,77
2024-03-16T22:18:51.023599793Z,78
2024-03-16T22:18:53.832902615Z,80
2024-03-16T22:18:54.45489364Z,81
2024-03-16T22:18:55.112937966Z,82
2024-03-16T22:18:55.730929356Z,85
2024-03-16T22:18:56.460868936Z,87
2024-03-16T22:18:57.270740473Z,86
2024-03-16T22:18:57.882916612Z,87
2024-03-16T22:18:58.776917198Z,85
2024-03-16T22:19:00.111043842Z,87
2024-03-16T22:19:00.624837711Z,90
2024-03-16T22:19:01.138726537Z,99
2024-03-16T22:19:01.668847061Z,104
2024-03-16T22:19:02.176941739Z,123
2024-03-16T22:19:02.689185238Z,131
2024-03-16T22:19:03.208843529Z,148
2024-03-16T22:19:03.712973422Z,160
2024-03-16T22:19:04.22889653Z,155
2024-03-16T22:19:04.732957513Z,142
2024-03-16T22:19:05.393550655Z,129
2024-03-16T22:19:06.122853345Z,120
2024-03-16T22:19:06.952799192Z,109
2024-03-16T22:19:07.724837021Z,100
2024-03-16T22:19:08.485019015Z,95
2024-03-16T22:19:09.277218007Z,88
2024-03-16T22:19:10.203591965Z,81
2024-03-16T22:19:11.077071135Z,77
2024-03-16T22:19:11.834968525Z,76
2024-03-16T22:19:13.357124883Z,75
2024-03-16T22:19:14.171550862Z,74
2024-03-16T22:19:15.720975015Z,75
2024-03-16T22:19:16.641188195Z,73
2024-03-16T22:19:18.29303356Z,74
2024-03-16T22:19:18.993031419Z,76
2024-03-16T22:19:20.596930381Z,75
2024-03-16T22:19:21.500997558Z,73
2024-03-16T22:19:22.269285519Z,74
2024-03-16T22:19:23.015709621Z,75
2024-03-16T22:19:23.90604874Z,73
2024-03-16T22:19:24.763150789Z,74
2024-03-16T22:19:25.534963923Z,75
2024-03-16T22:19:27.206660583Z,73
2024-03-16T22:19:28.183357447Z,71
2024-03-16T22:19:29.766902741Z,72
2024-03-16T22:19:30.50678926Z,73
2024-03-16T22:19:31.383414323Z,71
2024-03-16T22:19:32.181106638Z,72
2024-03-16T22:19:32.9528919Z,73
2024-03-16T22:19:33.903243155Z,71
2024-03-16T22:19:34.852824257Z,70
2024-03-16T22:19:36.541050918Z,72
2024-03-16T22:19:37.419220997Z,71
2024-03-16T22:19:38.302886211Z,70
2024-03-16T22:19:39.849649709Z,71
2024-03-16T22:19:41.429442534Z,70
2024-03-16T22:19:42.212812831Z,72
2024-03-16T22:19:42.984851124Z,74
2024-03-16T22:19:43.721633232Z,75
2024-03-16T22:19:46.09712687Z,77
2024-03-16T22:19:47.783013766Z,75
2024-03-16T22:19:48.745333519Z,74
2024-03-16T22:19:52.516922342Z,75
2024-03-16T22:19:55.043082543Z,73
2024-03-16T22:19:55.884771081Z,74
2024-03-16T22:19:56.659016156Z,75
2024-03-16T22:19:57.451574894Z,76
2024-03-16T22:19:58.232839225Z,75
2024-03-16T22:19:59.666035221Z,76
2024-03-16T22:20:00.435216471Z,75
2024-03-16T22:20:01.173205027Z,76
2024-03-16T22:20:01.838909283Z,77
2024-03-16T22:20:02.497170358Z,80
2024-03-16T22:20:03.110782476Z,83
2024-03-16T22:20:03.780890142Z,84
2024-03-16T22:20:04.44862572Z,85
2024-03-16T22:20:05.152836496Z,86
2024-03-16T22:20:05.85708147Z,87
2024-03-16T22:20:06.513066487Z,88
2024-03-16T22:20:07.175227719Z,89
2024-03-16T22:20:07.821061905Z,90
2024-03-16T22:20:09.494914701Z,94
2024-03-16T22:20:10.01122622Z,98
2024-03-16T22:20:10.516846448Z,111
2024-03-16T22:20:12.272757548Z,117
2024-03-16T22:20:12.774893993Z,125
2024-03-16T22:20:13.290852947Z,137
2024-03-16T22:20:13.802928594Z,142
2024-03-16T22:20:14.307312077Z,135
2024-03-16T22:20:14.830973517Z,132
2024-03-16T22:20:15.334772724Z,130
2024-03-16T22:20:15.856968283Z,160
2024-03-16T22:20:16.360209465Z,153
2024-03-16T22:20:16.871018513Z,150
2024-03-16T22:20:17.491329381Z,144
2024-03-16T22:20:18.155216276Z,142
2024-03-16T22:20:18.843040702Z,133
2024-03-16T22:20:19.534678608Z,126
2024-03-16T22:20:20.223287711Z,117
